word,high,low
lightweight,4,4
allergy,4,4
guessing,4,4
variety,4,4
freshly,4,4
ending,4,4
feelings,4,4
sinks,4,4
series,4,4
nourish,4,4
fits,4,4
shoulders,4,4
tendency,4,4
retail,4,4
increase,4,4
nature,4,4
flowery,3,4
requires,3,4
performed,3,4
flakes,3,4
swimming,3,4
relieved,3,4
loaded,3,4
harmful,3,4
tint,3,4
square,3,4
assembly,3,4
impression,3,4
according,3,4
powerful,3,4
roots,3,4
plays,3,4
lighten,3,4
kit,3,4
corners,3,4
pack,3,4
items,3,4
glasses,3,4
clogging,3,4
humid,3,4
months,3,4
pure,3,4
sturdier,3,4
film,3,4
assuming,3,4
soaks,3,4
nighttime,3,4
constant,3,4
reccomend,3,4
children,3,4
empty,2,4
tip,2,4
surprising,2,4
pumping,2,4
pours,2,4
drawing,2,4
lasts,2,4
70,2,4
cocoa,2,4
severe,2,4
factor,2,4
way,2,4
fan,2,4
inner,2,4
grow,2,4
language,2,4
plot,2,4
else,2,4
follow,2,4
named,2,4
discarded,2,4
wavy,2,4
restore,2,4
decades,2,4
pointed,2,4
replacement,2,4
pops,2,4
hesitate,2,4
real,2,4
occasional,2,4
spraying,2,4
consumers,2,4
sink,2,4
reccommend,2,4
minor,2,4
revert,2,4
dogs,2,4
homes,2,4
twenty,2,4
boost,2,4
invest,2,4
perfection,2,4
gritty,2,4
resulted,2,4
lipstick,2,4
counter,2,4
sooooo,2,4
list,2,4
teenagers,2,4
receipt,2,4
smile,2,4
canister,2,4
versions,2,4
micro,2,4
nail,2,4
album,2,4
bag,2,4
110,2,4
begun,2,4
teh,1,4
o,1,4
laugh,1,4
beautiful,1,4
picky,1,4
forgotten,1,4
brown,1,4
final,1,4
occasion,1,4
length,1,4
comparable,1,4
remember,1,4
4k,1,4
72,1,4
vac,1,4
forehead,1,4
caked,1,4
often,1,4
unmanageable,1,4
tries,1,4
television,1,4
shiney,1,4
ad,1,4
skeptical,1,4
rare,1,4
go,1,4
foul,1,4
somebody,1,4
photos,1,4
dream,1,4
brand,1,4
closet,1,4
compressed,1,4
joins,1,4
nails,1,4
creamy,1,4
bulk,1,4
queen,1,4
tonight,1,4
effort,1,4
tips,1,4
lazy,1,4
straighten,1,4
preference,1,4
assemble,1,4
killed,1,4
although,1,4
acting,1,4
dissolves,1,4
pictures,1,4
manufacture,1,4
advice,1,4
smudges,1,4
suction,1,4
pregnant,1,4
ammonia,1,4
shut,1,4
afternoon,1,4
humidity,1,4
affordable,1,4
decent,1,4
discoloration,1,4
degree,1,4
fleece,1,4
assess,1,4
poorly,1,4
address,1,4
press,1,4
cares,1,4
collapsed,1,4
premium,1,4
mins,1,4
eliminate,1,4
bitter,1,4
chunk,1,4
refuse,1,4
stretched,1,4
engage,1,4
ring,1,4
amazed,1,4
sunny,1,4
days,1,4
toddler,1,4
temps,1,4
department,1,4
fantastic,1,4
lately,1,4
hinge,1,4
owner,1,4
